n,k,q,found,attempts,possible_permutations,execution_time_sec
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0153720378876
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,299.96875524520874
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.017520904541
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0122420787811
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0130031108856
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.026664018631
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01405000686646
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0163278579712
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0142939090729
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01419281959534
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0139067173004
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0181450843811
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01487827301025
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01450514793396
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,299.96206617355347
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0113751888275
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01179003715515
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0327789783478
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.013222694397
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0130841732025
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0121490955353
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0250880718231
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0173990726471
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0135052204132
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,299.9976980686188
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0159721374512
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0124969482422
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,299.9132652282715
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00629687309265
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00567388534546
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0162761211395
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.007071018219
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00768995285034
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00699615478516
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0075807571411
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.00738501548767
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0087397098541
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0082428455353
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0774898529053
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01134181022644
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0185978412628
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01724004745483
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01158618927
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01084184646606
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0340487957001
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01437497138977
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.014230966568
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01047587394714
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0581419467926
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.013836145401
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01124715805054
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.01505517959595
64,35,127,False,-1,126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000,300.0153999328613
