n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
64,32,127,0.01,0.05,2,1.1,3,linear_combination,1,1782176060,2026-08-05T17:18:30.160242+00:00,1,1000,10000,0.004492998123168945,0.09707212448120117,0.15402698516845703,151.00566291809082,151.26774191856384,46,13,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,2,328753328,2026-08-05T17:21:01.438784+00:00,1,1000,10000,0.0044629573822021484,0.08630800247192383,0.15409302711486816,151.043438911438,151.29477190971375,46,16,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,0,1587423823,2026-08-05T17:23:32.744622+00:00,1,1000,10000,0.004794120788574219,0.11650466918945312,0.15774893760681152,141.35766077041626,141.64314126968384,53,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,1,1620825773,2026-08-05T17:25:54.401087+00:00,1,1000,10000,0.004778861999511719,0.10898184776306152,0.15758776664733887,135.9045877456665,136.1826891899109,46,14,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,local_search,2,1507805793,2026-08-05T17:28:10.591002+00:00,1,1000,10000,0.003988027572631836,0.08221912384033203,0.15236592292785645,133.02661681175232,133.2713439464569,52,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,random,0,1582118667,2026-08-05T17:30:23.868861+00:00,1,1000,10000,0.0040531158447265625,0.08181881904602051,0.15207815170288086,312.3014917373657,312.54563093185425,48,11,64,25,30,True,1000,966,0,0,9.235294117647058,11,0.0,,False,
64,32,127,0.01,0.05,2,1.2,3,random,1,367043293,2026-08-05T17:35:36.422316+00:00,1,1000,10000,0.004124879837036133,0.08198809623718262,0.15194225311279297,308.39982414245605,308.6440677642822,51,6,64,25,30,True,1000,939,0,0,6.131147540983607,7,0.0,,False,
64,32,127,0.01,0.05,2,1.2,3,random,2,816299582,2026-08-05T17:40:45.071878+00:00,1,1000,10000,0.004049062728881836,0.08028483390808105,0.14962387084960938,308.6248142719269,308.865031003952,48,16,64,25,30,True,1000,961,0,0,6.641025641025641,8,0.0,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,0,1737421481,2026-08-05T17:45:53.943158+00:00,1,1000,10000,0.004096031188964844,0.08262109756469727,0.15203285217285156,145.57695388793945,145.82188820838928,47,17,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,1,1050526841,2026-08-05T17:48:19.772461+00:00,1,1000,10000,0.004091978073120117,0.08154010772705078,0.15174102783203125,145.83427262306213,146.07756209373474,39,15,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,linear_combination,2,919588479,2026-08-05T17:50:45.855913+00:00,1,1000,10000,0.0041332244873046875,0.08154916763305664,0.15099287033081055,145.43733882904053,145.68027424812317,52,12,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,0,621948617,2026-08-05T17:53:11.542618+00:00,1,1000,10000,0.004183053970336914,0.08220410346984863,0.14942002296447754,132.5770890712738,132.81921100616455,40,19,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,1,76933245,2026-08-05T17:55:24.368825+00:00,1,1000,10000,0.004039287567138672,0.08092808723449707,0.15006375312805176,133.28462505340576,133.52572798728943,48,10,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.2,3,local_search,2,149453267,2026-08-05T17:57:37.904674+00:00,1,1000,10000,0.0044040679931640625,0.08191895484924316,0.15105009078979492,132.41624927520752,132.66031074523926,56,8,64,25,30,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.5,3,random,0,494144358,2026-08-05T17:59:50.570792+00:00,1,1000,10000,0.0039920806884765625,0.08196520805358887,0.15165495872497559,122.22252297401428,122.46626424789429,53,9,64,25,38,True,1000,0,0,0,7.379,10,0.0,,False,
64,32,127,0.01,0.05,2,1.5,3,random,1,1028537144,2026-08-05T18:01:53.042325+00:00,1,1000,10000,0.004064083099365234,0.08191490173339844,0.14957594871520996,134.88245725631714,135.1240861415863,49,7,64,25,38,True,1000,0,0,0,10.428,13,0.0,,False,
64,32,127,0.01,0.05,2,1.5,3,random,2,1803053339,2026-08-05T18:04:08.174063+00:00,1,1000,10000,0.004252910614013672,0.08080506324768066,0.15235090255737305,122.71329593658447,122.95669889450073,44,7,64,25,38,True,1000,0,0,0,12.818,16,0.0,,False,
64,32,127,0.01,0.05,2,1.5,3,linear_combination,0,1996690885,2026-08-05T18:06:11.136551+00:00,1,1000,10000,0.004099130630493164,0.08270573616027832,0.1515047550201416,151.99098205566406,152.23526906967163,47,12,64,25,38,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.5,3,linear_combination,1,409405091,2026-08-05T18:08:43.380860+00:00,1,1000,10000,0.004177093505859375,0.08275198936462402,0.15565085411071777,149.15179586410522,149.40074515342712,43,16,64,25,38,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.5,3,linear_combination,2,1288216640,2026-08-05T18:11:12.789843+00:00,1,1000,10000,0.004232883453369141,0.08226609230041504,0.1513988971710205,149.2840712070465,149.52850198745728,51,9,64,25,38,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.5,3,local_search,0,662539685,2026-08-05T18:13:42.328135+00:00,1,1000,10000,0.004369974136352539,0.08562684059143066,0.18041372299194336,161.14299392700195,161.41993188858032,41,13,64,25,38,True,1000,643,0,0,15.224089635854341,19,0.0,,False,
64,32,127,0.01,0.05,2,1.5,3,local_search,1,1951293045,2026-08-05T18:16:23.755649+00:00,1,1000,10000,0.00419306755065918,0.09517097473144531,0.16775894165039062,164.16487312316895,164.43834805488586,44,16,64,25,38,True,1000,662,0,0,11.14792899408284,15,0.0,,False,
64,32,127,0.01,0.05,2,1.5,3,local_search,2,1467103483,2026-08-05T18:19:08.200588+00:00,1,1000,10000,0.004601001739501953,0.08633899688720703,0.15916800498962402,160.23578190803528,160.49254488945007,43,12,64,25,38,True,1000,683,0,0,13.520504731861198,17,0.0,,False,
64,32,127,0.01,0.05,3,1.1,3,random,0,1215240425,2026-08-05T18:21:48.699388+00:00,1,1000,10000,0.003960847854614258,0.08115410804748535,0.15177392959594727,320.48859095573425,320.73291397094727,51,11,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,3,1.1,3,random,1,1765249933,2026-08-05T18:27:09.510156+00:00,1,1000,10000,0.00586700439453125,0.10502505302429199,0.17997002601623535,319.01141905784607,319.3133177757263,55,9,64,25,28,True,1000,1000,0,0,,,,,False,
