n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
7,3,7,0.01,0.05,1,1.1,5,random,3,1281549170,2026-07-28T22:58:58.239880+00:00,2,500,500,0.00019311904907226562,0.00014066696166992188,0.0005061626434326172,0.0001628398895263672,0.0012879371643066406,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,5,random,4,1097164244,2026-07-28T22:58:58.241535+00:00,2,500,500,0.00011587142944335938,0.00012993812561035156,0.0004911422729492188,0.00016498565673828125,0.0011179447174072266,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,linear_combination,0,254763166,2026-07-28T22:58:58.242987+00:00,2,500,500,0.00010800361633300781,0.00012969970703125,0.0004951953887939453,0.0019180774688720703,0.002872943878173828,6,1,7,4,4,False,7,0,2,2,0.6666666666666666,1,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,5,linear_combination,1,391791058,2026-07-28T22:58:58.246206+00:00,2,500,500,0.00011587142944335938,0.00013208389282226562,0.0005090236663818359,0.0004801750183105469,0.0014739036560058594,6,1,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,linear_combination,2,1479551355,2026-07-28T22:58:58.248010+00:00,2,500,500,0.00010800361633300781,0.00012993812561035156,0.0005090236663818359,0.0011970996856689453,0.0021507740020751953,5,0,7,4,4,False,5,0,2,2,0.75,2,0.75,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,linear_combination,3,795457831,2026-07-28T22:58:58.250482+00:00,2,500,500,0.00010704994201660156,0.00012993812561035156,0.0005409717559814453,0.0005581378936767578,0.0015649795532226562,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,linear_combination,4,332284968,2026-07-28T22:58:58.252424+00:00,2,500,500,0.0001380443572998047,0.00013208389282226562,0.0005698204040527344,0.0011858940124511719,0.002279996871948242,3,0,7,4,4,False,4,0,2,2,2.3333333333333335,3,0.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,local_search,0,1920508879,2026-07-28T22:58:58.255126+00:00,2,500,500,0.0001609325408935547,0.0001380443572998047,0.0005199909210205078,0.00024175643920898438,0.0013210773468017578,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,local_search,1,456573199,2026-07-28T22:58:58.256798+00:00,2,500,500,0.00012087821960449219,0.0001308917999267578,0.0005271434783935547,0.0005080699920654297,0.0016908645629882812,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,local_search,2,683315746,2026-07-28T22:58:58.258845+00:00,2,500,500,0.00012803077697753906,0.00013208389282226562,0.0005018711090087891,0.0005137920379638672,0.0014951229095458984,5,0,7,4,4,False,3,0,2,2,1.0,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,local_search,3,722689466,2026-07-28T22:58:58.260675+00:00,2,500,500,0.00011706352233886719,0.00013065338134765625,0.0004901885986328125,0.0014848709106445312,0.0024378299713134766,5,2,7,4,4,False,6,0,2,2,1.2,2,0.4,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,local_search,4,1093503932,2026-07-28T22:58:58.263454+00:00,2,500,500,0.00011491775512695312,0.00012993812561035156,0.0005431175231933594,0.00031638145446777344,0.0013320446014404297,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,10,random,0,1533825249,2026-07-28T22:58:58.265112+00:00,2,500,500,0.00011086463928222656,0.00012922286987304688,0.0004887580871582031,0.0004398822784423828,0.0013730525970458984,5,0,7,4,4,False,3,0,2,2,1.0,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,10,random,1,910877732,2026-07-28T22:58:58.266799+00:00,2,500,500,0.00010609626770019531,0.0001289844512939453,0.0004971027374267578,0.0005540847778320312,0.0015091896057128906,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
