n,k,q,alpha,beta,weight_factor,seed,config_source,target_weight,v_weight,t_active,rows_qhat_correct,r_v_true,mean_est_r,rmax_90,coverage_90,rmax_95,coverage_95,rmax_99,coverage_99,elapsed_posterior_s,elapsed_hungarian_s,elapsed_estimate_s,error
32,16,127,0.01,0.05,1.1,20260866,grid,15,15,15,28,2,4.476660665648325,7,1,7,1,9,1,0.031148910522460938,0.035076141357421875,0.007460117340087891,
32,16,127,0.01,0.05,1.1,20260867,grid,15,15,15,23,6,5.292100596651791,7,1,8,1,9,1,0.031417131423950195,0.03805279731750488,0.007552146911621094,
32,16,127,0.01,0.05,1.1,20260868,grid,15,15,15,26,4,7.2160613961966416,9,1,10,1,11,1,0.03171992301940918,0.03723287582397461,0.007740974426269531,
32,16,127,0.01,0.05,1.1,20260869,grid,15,15,15,25,5,3.845040207585475,6,1,7,1,8,1,0.03152275085449219,0.03598618507385254,0.007636070251464844,
32,16,127,0.01,0.05,1.1,20260870,grid,15,15,15,26,2,4.572038795476368,7,1,7,1,8,1,0.031371116638183594,0.03592681884765625,0.007528066635131836,
32,16,127,0.02,0.08,1.1,20260871,grid,15,15,15,21,4,8.700649257619414,11,1,11,1,13,1,0.031681060791015625,0.03761935234069824,0.007727861404418945,
32,16,127,0.02,0.08,1.1,20260872,grid,15,15,15,23,3,6.981553086715459,9,1,10,1,11,1,0.03141522407531738,0.03739476203918457,0.007464885711669922,
32,16,127,0.02,0.08,1.1,20260873,grid,15,15,15,22,3,8.191385653554727,10,1,11,1,12,1,0.031275033950805664,0.03783392906188965,0.007763862609863281,
32,16,127,0.02,0.08,1.1,20260874,grid,15,15,15,22,4,9.069606841706943,11,1,12,1,13,1,0.03144121170043945,0.03837990760803223,0.007780313491821289,
32,16,127,0.02,0.08,1.1,20260875,grid,15,15,15,20,5,8.178469715403152,10,1,11,1,12,1,0.031935930252075195,0.03751206398010254,0.007567882537841797,
64,32,7,0.01,0.03,1.1,20260876,grid,20,20,20,34,8,12.238102925257904,15,1,15,1,16,1,0.006478071212768555,0.06483697891235352,0.0015761852264404297,
